ciudad,pais,continente,poblacion,area_km2,densidad,pib_per_capita,temperatura_media,precipitacion_anual,esperanza_vida,alfabetizacion,año_fundacion,latitud,longitud
Ciudad de México,México,América del Norte,9209944,1485,6201,20000,16,700,75.2,95.4,1325,19.43,-99.13
São Paulo,Brasil,América del Sur,12325232,1521,8103,15000,19,1400,73.8,93.2,1554,-23.55,-46.63
Buenos Aires,Argentina,América del Sur,3075646,203,15151,22000,17,1200,76.5,98.1,1536,-34.61,-58.38
Lima,Perú,América del Sur,10555916,2672,3950,12000,18,10,74.0,94.5,1535,-12.05,-77.04
Bogotá,Colombia,América del Sur,7412566,1587,4672,14000,14,800,73.5,95.2,1538,4.71,-74.07
Santiago,Chile,América del Sur,6310000,641,9844,24000,12,300,79.3,96.4,1541,-33.46,-70.65
Caracas,Venezuela,América del Sur,2245744,433,5187,8000,22,900,72.1,97.1,1567,10.49,-66.88
Quito,Ecuador,América del Sur,2781641,372,7477,11000,13,600,75.5,94.4,1534,-0.23,-78.52
La Paz,Bolivia,América del Sur,812799,2304,353,7500,8,550,65.5,92.5,1548,-16.50,-68.15
Asunción,Paraguay,América del Sur,525294,117,4490,9000,25,1300,73.2,94.3,1537,-25.28,-57.64
Montevideo,Uruguay,América del Sur,1381000,530,2606,21000,17,950,76.8,98.5,1726,-34.91,-56.19
Madrid,España,Europa,3223334,604,5337,38000,15,430,82.8,98.4,1083,40.41,-3.70
Barcelona,España,Europa,1620343,101,16043,36000,17,640,82.5,98.2,15,41.39,2.16
París,Francia,Europa,2148271,105,20460,45000,12,640,82.3,99.0,52,48.85,2.35
Londres,Reino Unido,Europa,8982000,1572,5714,55000,11,600,81.2,99.0,43,51.51,-0.13
Berlín,Alemania,Europa,3769495,892,4226,50000,10,580,80.9,99.0,1237,52.52,13.40
Roma,Italia,Europa,2873494,1285,2236,37000,15,800,82.5,99.2,-753,41.90,12.50
Ámsterdam,Países Bajos,Europa,907976,219,4146,52000,10,800,82.1,99.0,1275,52.37,4.90
Viena,Austria,Europa,1897491,414,4583,53000,10,600,82.1,99.0,1137,48.21,16.37
Lisboa,Portugal,Europa,505526,100,5055,28000,17,700,81.3,95.7,1147,38.72,-9.14
Bruselas,Bélgica,Europa,1218255,161,7568,47000,11,850,81.4,99.0,979,50.85,4.35
Tokio,Japón,Asia,13960000,2194,6363,45000,15,1530,83.7,99.0,1457,35.68,139.69
Pekín,China,Asia,21542000,16411,1313,20000,12,600,76.7,96.4,1045,39.91,116.39
Shanghái,China,Asia,24870895,6340,3923,25000,16,1200,77.5,97.2,751,31.23,121.47
Bombay,India,Asia,20667656,603,34275,7000,27,2400,72.8,86.0,1507,19.08,72.88
Delhi,India,Asia,32941309,1484,22198,6500,25,800,72.5,86.3,736,28.64,77.22
Yakarta,Indonesia,Asia,10562088,664,15906,10000,28,1800,71.5,95.7,1527,-6.21,106.85
Bangkok,Tailandia,Asia,10539000,1569,6717,17000,28,1400,75.5,93.8,1782,13.75,100.52
Seúl,Corea del Sur,Asia,9776000,605,16158,38000,12,1400,82.7,98.8,18,37.57,126.98
Singapur,Singapur,Asia,5453600,728,7490,65000,27,2340,82.9,97.0,1819,1.35,103.82
Estambul,Turquía,Asia,15462452,2576,6003,18000,14,800,77.7,96.7,660,41.01,28.95
Dubái,Emiratos Árabes,Asia,3478300,4114,846,40000,28,100,77.1,93.8,1833,25.20,55.27
Hong Kong,China,Asia,7482500,1106,6768,50000,23,2400,85.3,95.7,1841,22.32,114.17
Osaka,Japón,Asia,2668586,225,11860,42000,15,1300,83.2,99.0,645,34.69,135.50
Manila,Filipinas,Asia,1846513,38,48593,8000,28,1900,68.5,96.3,1571,14.60,120.98
Nairobi,Kenia,África,4397073,696,6319,3500,19,860,66.7,81.5,1899,-1.29,36.82
Lagos,Nigeria,África,14862000,999,14877,4000,27,1600,54.3,60.9,1472,6.46,3.39
El Cairo,Egipto,África,21323000,3085,6912,12000,22,25,72.7,71.2,-3100,30.06,31.25
Johannesburgo,Sudáfrica,África,5635127,1645,3426,11000,15,700,64.1,94.3,1886,-26.20,28.04
Casablanca,Marruecos,África,3752000,386,9720,8000,19,400,74.3,73.8,940,33.59,-7.62
Nueva York,EE.UU.,América del Norte,8336817,783,10646,85000,13,1270,79.1,99.0,1624,40.71,-74.01
Los Ángeles,EE.UU.,América del Norte,3979576,1302,3056,70000,18,380,78.8,99.0,1781,34.05,-118.24
Chicago,EE.UU.,América del Norte,2693976,606,4445,60000,10,940,77.5,99.0,1837,41.85,-87.65
Toronto,Canadá,América del Norte,2731571,630,4336,52000,9,800,82.5,99.0,1793,43.70,-79.42
Vancouver,Canadá,América del Norte,675218,114,5924,55000,10,1200,82.7,99.0,1886,49.25,-123.12
Ciudad de Guatemala,Guatemala,América Central,1110000,228,4868,8000,18,1200,72.5,81.3,1524,14.64,-90.51
San José,Costa Rica,América Central,340000,44,7727,18000,20,1800,79.8,97.9,1737,9.93,-84.08
Sydney,Australia,Oceanía,5312000,12368,429,55000,18,1210,83.5,99.0,1788,-33.87,151.21
Melbourne,Australia,Oceanía,5078000,9993,508,52000,15,648,83.2,99.0,1835,-37.81,144.96
Auckland,Nueva Zelanda,Oceanía,1457000,4894,298,42000,15,1240,82.3,99.0,1840,-36.86,174.77
